Grainger,4647253238,00001,10374,"HMIG Label,3/4"" x 2-1/2"",lsopropyl,PK250",8/6/2025,8,1.75,iStock,"ROLL PRODUCTS INC. WW GRAINGER LOUISVILLE DCLOUISVILLE DC8701 MINOR LANELOUISVILLE , KY 40219US"
Grainger,4647253238,00002,10Y505,"Label,1-1/4""H,4-1/2""W,PK1000",8/6/2025,26,404.81,iStock,"ROLL PRODUCTS INC. WW GRAINGER LOUISVILLE DCLOUISVILLE DC8701 MINOR LANELOUISVILLE , KY 40219US"
Grainger,4647253238,00003,BVCC1,"Label,5/8 in x 1 11/16 in,Paper,PK1000",8/6/2025,3,,iStock,"ROLL PRODUCTS INC. WW GRAINGER LOUISVILLE DCLOUISVILLE DC8701 MINOR LANELOUISVILLE , KY 40219US"
Grainger,4647253238,00004,BVCC5,"Laboratory Label, 1-3/4 In. W,PK1000",8/6/2025,1,,iStock,"ROLL PRODUCTS INC. WW GRAINGER LOUISVILLE DCLOUISVILLE DC8701 MINOR LANELOUISVILLE , KY 40219US"
