filename,size_a,size_b,abs_size_diff,rel_size_diff,rows_a,rows_b,abs_row_diff,chars_a,chars_b,abs_chars_diff,rel_chars_diff,similarity_ratio,normalized_similarity_ratio,flag_abs_size,flag_rel_size,flag_row_diff,flag_similarity,flag_norm_similarity,is_outlier
PO 4647115406.csv,172,172,0,0.000,1,1,0,165,165,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647115407.csv,170,169,1,0.006,1,1,0,162,161,1,0.006,1.000,1.000,0,0,0,0,0,0
PO 4647115408.csv,358,359,1,0.003,2,2,0,346,347,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647115544.csv,950,950,0,0.000,6,6,0,910,910,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647165009.csv,163,159,4,0.025,1,1,0,155,151,4,0.026,1.000,1.000,0,0,0,0,0,0
PO 4647173477.csv,173,173,0,0.000,1,1,0,167,167,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647173568.csv,341,341,0,0.000,2,2,0,329,329,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647173776.csv,526,526,0,0.000,3,3,0,508,508,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647174354.csv,176,175,1,0.006,1,1,0,168,167,1,0.006,1.000,1.000,0,0,0,0,0,0
PO 4647174565.csv,284,284,0,0.000,2,2,0,270,270,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647176297.csv,170,167,3,0.018,1,1,0,163,160,3,0.019,1.000,1.000,0,0,0,0,0,0
PO 4647176298.csv,332,332,0,0.000,2,2,0,319,319,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647176351.csv,353,354,1,0.003,2,2,0,341,342,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647176776.csv,359,359,0,0.000,2,2,0,345,345,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647178260.csv,302,302,0,0.000,2,2,0,290,290,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647179824.csv,181,178,3,0.017,1,1,0,174,171,3,0.018,1.000,1.000,0,0,0,0,0,0
PO 4647179825.csv,347,348,1,0.003,2,2,0,332,333,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647196052.csv,194,190,4,0.021,1,1,0,186,182,4,0.022,1.000,1.000,0,0,0,0,0,0
PO 4647199657.csv,205,203,2,0.010,1,1,0,198,196,2,0.010,1.000,1.000,0,0,0,0,0,0
PO 4647210834.csv,162,157,5,0.032,1,1,0,154,149,5,0.034,1.000,1.000,0,0,0,0,0,0
PO 4647233385.csv,231,226,5,0.022,1,1,0,223,218,5,0.023,1.000,1.000,0,0,0,0,0,0
PO 4647246477.csv,169,169,0,0.000,1,1,0,163,163,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647248171.csv,149,149,0,0.000,1,1,0,143,143,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647249404.csv,181,181,0,0.000,1,1,0,175,175,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647249960.csv,456,456,0,0.000,3,3,0,438,438,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647250548.csv,659,659,0,0.000,4,4,0,631,631,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647250793.csv,361,363,2,0.006,2,2,0,347,348,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647252974.csv,314,314,0,0.000,2,2,0,301,301,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647253238.csv,714,713,1,0.001,4,4,0,686,685,1,0.001,1.000,1.000,0,0,0,0,0,0
PO 4647271036.csv,170,166,4,0.024,1,1,0,162,158,4,0.025,1.000,1.000,0,0,0,0,0,0
