Vendor,PO_Number,Line_Number,Product_Number,Description,Ship_Date,Quantity,Price,Ticket_Type,Address
Grainger,4647479682,00001,0Y495,"""Label,9/10""""H,4-1/4""""W,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00002,0Y497,"""Label,9/10""""H,4-1/4""""W,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00003,0Y504,"""Label,9/10""""H,4-1/4""""W,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00004,SBVCC1,"""Label,5/8"",in,x,1,11/16,""in,Paper,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00005,BVCC2,"""Label,1"",1/2,in,x,2,1/2,""in,Paper,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00006,BVCG4,"QC,Act,""Label,PK250""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00007,SVCN9,"Shipping,Dot,""Label,1"",In.,""W,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
Grainger,4647479682,00008,SBVCP2,"Shipping,Squares,""Label,"",1/2,In.,""W,PK1000""",,,,iStock,"ROLL PRODUCTS INC. WW GRAINGER FOUNTAIN INN101 SOUTHCHASE BLVDFOUNTAIN INN, SC 29644US"
